Tabelle: 23131-0002
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Insgesamt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;unter 1 Jahr;;1 bis unter 5 Jahre;;5 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 bis unter 90 Jahre;;90 bis unter 95 Jahre;;95 Jahre und mehr;;Insgesamt;;unter 1 Jahr;;1 bis unter 5 Jahre;;5 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 bis unter 90 Jahre;;90 bis unter 95 Jahre;;95 Jahre und mehr;;Insgesamt;;unter 1 Jahr;;1 bis unter 5 Jahre;;5 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 70 Jahre;;70 bis unter 75 Jahre;;75 bis unter 80 Jahre;;80 bis unter 85 Jahre;;85 bis unter 90 Jahre;;90 bis unter 95 Jahre;;95 Jahre und mehr;;Insgesamt;
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;10955;e;18212;e;11031;e;6886;e;4460;e;2751;e;7122;e;7002;e;7766;e;8278;e;8329;e;8579;e;10832;e;16286;e;20430;e;21617;e;24415;e;22601;e;29204;e;23498;e;7741;e;1527;e;279522;e;9363;e;16127;e;9921;e;6423;e;5752;e;2983;e;7539;e;7052;e;7052;e;7148;e;6907;e;6716;e;8663;e;12464;e;14916;e;16530;e;19293;e;19979;e;31382;e;30857;e;13001;e;3864;e;263932;e;20318;e;34339;e;20952;e;13309;e;10212;e;5734;e;14661;e;14054;e;14818;e;15426;e;15236;e;15295;e;19495;e;28750;e;35346;e;38147;e;43708;e;42580;e;60586;e;54355;e;20742;e;5391;e;543454;e
ICD10-A00-A09;  Infektiöse Darmkrankheiten;5827;e;12759;e;7326;e;4354;e;2432;e;1274;e;3582;e;3177;e;3137;e;2889;e;2414;e;2210;e;2550;e;3524;e;4275;e;4326;e;4998;e;4659;e;6433;e;5581;e;1944;e;404;e;90075;e;5031;e;11445;e;6782;e;4080;e;3364;e;1480;e;4180;e;3843;e;3547;e;3152;e;2829;e;2584;e;3176;e;4192;e;4889;e;5282;e;6100;e;6752;e;11062;e;11048;e;4783;e;1411;e;111012;e;10858;e;24204;e;14108;e;8434;e;5796;e;2754;e;7762;e;7020;e;6684;e;6041;e;5243;e;4794;e;5726;e;7716;e;9164;e;9608;e;11098;e;11411;e;17495;e;16629;e;6727;e;1815;e;201087;e
ICD10-A00;    Cholera;-;;1;e;-;;1;e;-;;-;;2;e;-;;-;;-;;-;;-;;-;;-;;2;e;-;;-;;-;;-;;-;;-;;-;;6;e;-;;-;;-;;-;;-;;-;;-;;-;;1;e;-;;-;;-;;-;;-;;-;;-;;1;e;-;;1;e;-;;-;;-;;3;e;-;;1;e;-;;1;e;-;;-;;2;e;-;;1;e;-;;-;;-;;-;;-;;2;e;-;;1;e;-;;1;e;-;;-;;-;;9;e
ICD10-A01;    Typhus abdominalis und Paratyphus;-;;2;e;5;e;4;e;4;e;3;e;8;e;7;e;15;e;7;e;3;e;-;;2;e;-;;1;e;-;;-;;-;;1;e;-;;-;;-;;62;e;-;;3;e;5;e;7;e;4;e;-;;11;e;7;e;5;e;5;e;1;e;1;e;2;e;2;e;2;e;-;;1;e;-;;1;e;1;e;-;;-;;58;e;-;;5;e;10;e;11;e;8;e;3;e;19;e;14;e;20;e;12;e;4;e;1;e;4;e;2;e;3;e;-;;1;e;-;;2;e;1;e;-;;-;;120;e
ICD10-A02;    Sonstige Salmonelleninfektionen;70;e;272;e;188;e;138;e;80;e;49;e;139;e;78;e;80;e;59;e;48;e;64;e;63;e;95;e;118;e;142;e;139;e;89;e;119;e;78;e;24;e;2;e;2134;e;69;e;231;e;148;e;91;e;57;e;34;e;103;e;56;e;64;e;48;e;35;e;61;e;35;e;82;e;78;e;109;e;98;e;99;e;117;e;71;e;35;e;4;e;1725;e;139;e;503;e;336;e;229;e;137;e;83;e;242;e;134;e;144;e;107;e;83;e;125;e;98;e;177;e;196;e;251;e;237;e;188;e;236;e;149;e;59;e;6;e;3859;e
ICD10-A03;    Shigellose (Bakterielle Ruhr);3;e;9;e;4;e;4;e;2;e;2;e;9;e;10;e;9;e;13;e;4;e;13;e;4;e;8;e;5;e;5;e;8;e;3;e;3;e;1;e;-;;-;;119;e;2;e;7;e;5;e;1;e;3;e;2;e;6;e;5;e;4;e;6;e;1;e;2;e;3;e;3;e;4;e;5;e;6;e;3;e;4;e;4;e;-;;2;e;78;e;5;e;16;e;9;e;5;e;5;e;4;e;15;e;15;e;13;e;19;e;5;e;15;e;7;e;11;e;9;e;10;e;14;e;6;e;7;e;5;e;-;;2;e;197;e
ICD10-A04;    Sonstige bakterielle Darminfektionen;288;e;622;e;303;e;336;e;326;e;175;e;585;e;418;e;442;e;424;e;349;e;356;e;464;e;744;e;1025;e;1061;e;1281;e;1240;e;1675;e;1429;e;509;e;106;e;14158;e;220;e;491;e;229;e;257;e;271;e;163;e;481;e;483;e;390;e;400;e;370;e;394;e;524;e;788;e;1000;e;1138;e;1343;e;1452;e;2360;e;2395;e;981;e;241;e;16371;e;508;e;1113;e;532;e;593;e;597;e;338;e;1066;e;901;e;832;e;824;e;719;e;750;e;988;e;1532;e;2025;e;2199;e;2624;e;2692;e;4035;e;3824;e;1490;e;347;e;30529;e
