Tabelle: 23131-0002
Hospital patients: Germany, years, sex, age groups,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
main diagnosis ICD-10 (1-3-digit hierarchy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnoses of hospital in-patients;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patients discharged from hospital (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Female;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;under 1 year;;1 to under 5 years;;5 to under 10 years;;10 to under 15 years;;15 to under 18 years;;18 to under 20 years;;20 to under 25 years;;25 to under 30 years;;30 to under 35 years;;35 to under 40 years;;40 to under 45 years;;45 to under 50 years;;50 to under 55 years;;55 to under 60 years;;60 to under 65 years;;65 to under 70 years;;70 to under 75 years;;75 to under 80 years;;80 to under 85 years;;85 to under 90 years;;90 to under 95 years;;95 years and over;;Total;;under 1 year;;1 to under 5 years;;5 to under 10 years;;10 to under 15 years;;15 to under 18 years;;18 to under 20 years;;20 to under 25 years;;25 to under 30 years;;30 to under 35 years;;35 to under 40 years;;40 to under 45 years;;45 to under 50 years;;50 to under 55 years;;55 to under 60 years;;60 to under 65 years;;65 to under 70 years;;70 to under 75 years;;75 to under 80 years;;80 to under 85 years;;85 to under 90 years;;90 to under 95 years;;95 years and over;;Total;;under 1 year;;1 to under 5 years;;5 to under 10 years;;10 to under 15 years;;15 to under 18 years;;18 to under 20 years;;20 to under 25 years;;25 to under 30 years;;30 to under 35 years;;35 to under 40 years;;40 to under 45 years;;45 to under 50 years;;50 to under 55 years;;55 to under 60 years;;60 to under 65 years;;65 to under 70 years;;70 to under 75 years;;75 to under 80 years;;80 to under 85 years;;85 to under 90 years;;90 to under 95 years;;95 years and over;;Total;
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICD10-C00-C97;Malignant neoplasms;570;e;4585;e;3594;e;3092;e;2537;e;1340;e;4011;e;4723;e;6712;e;8466;e;10883;e;18946;e;43398;e;78175;e;105405;e;122704;e;114498;e;120047;e;97180;e;37873;e;10118;e;1197;e;800054;e;372;e;3970;e;2948;e;2397;e;1851;e;911;e;2661;e;4018;e;7810;e;11822;e;17475;e;27204;e;49970;e;68053;e;78366;e;86769;e;78113;e;86628;e;77033;e;32148;e;10402;e;1966;e;652887;e;942;e;8555;e;6542;e;5489;e;4388;e;2251;e;6672;e;8741;e;14522;e;20288;e;28358;e;46150;e;93368;e;146228;e;183772;e;209473;e;192611;e;206675;e;174213;e;70021;e;20520;e;3163;e;1452942;e
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICD10-C00-C97;Malignant neoplasms;573;e;4595;e;3454;e;3174;e;2302;e;1253;e;3698;e;4725;e;6623;e;8405;e;11186;e;17626;e;41062;e;76203;e;104182;e;121645;e;120925;e;104557;e;100548;e;40005;e;10458;e;1405;e;788604;e;493;e;3855;e;2450;e;2454;e;1828;e;1087;e;2678;e;3829;e;7685;e;11883;e;18209;e;25292;e;47987;e;66172;e;79112;e;86432;e;83286;e;76981;e;78560;e;34510;e;10753;e;2029;e;647565;e;1066;e;8450;e;5904;e;5628;e;4130;e;2340;e;6376;e;8554;e;14308;e;20288;e;29395;e;42918;e;89049;e;142375;e;183294;e;208077;e;204211;e;181538;e;179108;e;74515;e;21211;e;3434;e;1436169;e
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICD10-C00-C97;Malignant neoplasms;534;e;4812;e;3759;e;2947;e;2337;e;1396;e;3508;e;4600;e;6287;e;8324;e;11173;e;16306;e;37485;e;71609;e;101492;e;118854;e;121250;e;98246;e;98665;e;42516;e;10282;e;1369;e;767751;e;310;e;3809;e;2759;e;2476;e;1820;e;881;e;2364;e;3837;e;7532;e;12208;e;18432;e;23962;e;44230;e;63650;e;78911;e;85164;e;84493;e;72133;e;78341;e;36908;e;10246;e;2006;e;636472;e;844;e;8621;e;6518;e;5423;e;4157;e;2277;e;5872;e;8437;e;13819;e;20532;e;29605;e;40268;e;81715;e;135259;e;180403;e;204018;e;205743;e;170379;e;177006;e;79424;e;20528;e;3375;e;1404223;e
2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ICD10-C00-C97;Malignant neoplasms;406;e;4670;e;3938;e;3014;e;2556;e;1262;e;3373;e;4575;e;6416;e;8217;e;11368;e;17166;e;35671;e;71073;e;104968;e;123920;e;127926;e;99949;e;98387;e;47369;e;10405;e;1407;e;788036;e;285;e;3846;e;3024;e;2146;e;1748;e;823;e;2414;e;3878;e;7288;e;12520;e;18417;e;24722;e;42383;e;64042;e;82622;e;88610;e;87695;e;73106;e;77469;e;40779;e;10424;e;2035;e;650276;e;691;e;8516;e;6962;e;5160;e;4304;e;2085;e;5787;e;8453;e;13704;e;20737;e;29785;e;41888;e;78054;e;135115;e;187590;e;212530;e;215621;e;173055;e;175856;e;88148;e;20829;e;3442;e;1438312;e
